OTU_ID	SRR16971116	SRR16971117	SRR16971118	SRR16971119	SRR16971120	SRR16971121
d5c6c4b26a840c3cb45f22d608aed42c	25.0	28.0	12.0	22.0	32.0	31.0
62818c4f9a5b41e1b09228ef50b6c8b5	24.0	12.0	22.0	24.0	33.0	23.0
b4fe9ca36b79e21f13a382e953260f69	25.0	20.0	37.0	17.0	17.0	24.0
76ae32389684756ed2731cae6584e70a	24.0	22.0	14.0	22.0	41.0	25.0
4dde97c2fff6ebf3b540f8e7fc9f7aa6	7.0	13.0	13.0	33.0	41.0	41.0
1671cca2053cd045fae46ab3c70f0e36	12.0	17.0	10.0	44.0	28.0	44.0
b917e6619153d122664a319b60122939	31.0	17.0	22.0	38.0	25.0	23.0
60a76aa89734b8ef1543c985f89beb6d	32.0	38.0	22.0	17.0	10.0	17.0
3e505cb9924fe677c91b3f4b4b3d12f0	32.0	19.0	24.0	18.0	28.0	10.0
49011f5e16fecea462ced78d991725ca	12.0	11.0	17.0	34.0	40.0	26.0
c42e5bfe3171fd48b0649d272b146fdc	44.0	31.0	38.0	8.0	5.0	12.0
cecf6e58455e20bf7855583fe557eac0	32.0	28.0	33.0	19.0	10.0	12.0
b7e6a07c392fe2ef16da23080c40a16e	21.0	13.0	16.0	46.0	25.0	17.0
610f492e31872bae8a70bd5b93831c78	13.0	12.0	27.0	25.0	26.0	27.0
dc75826e070cef95c4894850c328455e	12.0	21.0	10.0	35.0	32.0	28.0
a8259c5ddadf8044912c26e66214d326	31.0	32.0	46.0	13.0	8.0	5.0
296f4f425e97cdc47ff091fd91137597	0.0	19.0	16.0	54.0	34.0	29.0
4a62def1815baa912af820287883886e	21.0	17.0	0.0	69.0	24.0	23.0
b937701e8f244b0dac3998d396a08af8	27.0	36.0	24.0	17.0	11.0	21.0
bdf60228da3ebf14abf4f8d583d97328	40.0	34.0	0.0	55.0	25.0	0.0
